year	quarter	title	subtitle	hasImages	hasEmbed	hasLink	text
1	0	Research Experiential Learning Activity	Pinpoint: electrophysiology planning tool 	1			"Over the summer I got to start working in the Virtual Brain Lab, a group within the Steinmetz Lab for neuroscience at the University of Washington led by Dr. Dan Birman. I got the amazing opportunity to exercise my CS skills in an environment that had real impacts on the wider neuroscience community. My work continued through the fall quarter as an experiential learning activity. Thus far, I�ve learned so much from this project including working in teams, presenting my developments to peers, and receiving feedback from other neuroscience experts from around the world. My work was shared at the 2022 Society for Neuroscience (SfN) conference, one of the largest neuroscience conferences held annually. We gained a lot of interest in our development of Pinpoint including new partner companies such as New Scale who are interested in using our tools for their electrophysiology equipment. I look forward to continuing working in the Steinmetz Lab and developing Pinpoint!"
1	0	333gle	A CSE 333 project	1			"This quarter, I took CSE 333 Systems Programming. This course focuses on low-level programming and understanding many low-level operations related to the way computers and groups of computers function. Not only is the class on an important topic in computer science (and working with computers) it is also a prerequisite course for many 400-level CS courses including all of the courses on computer graphics I am the most interested in taking. This artifact focuses on the last project in the course in which all of our skills culminate into creating a web server that indexes a corpus of text and allows users to search through them with keywords, similar to the way Google works with the internet. I learned a lot about what goes on at the core of handling files on computers and how to serve websites from a computer onto the network and handle multiple users connecting to the server. I will be taking a lot of these core skills into my next CS courses as I begin to take 400-level classes. "
1	0	Lab C: Colliding Carts	A Physics 141 lab		1		"Against popular opinion, I chose to take honors physics this year. Many people told me it would be much harder than taking normal physics, but my interest in the subject drove me to try for the honors version. It turns out I got extremely lucky and landed an excellent professor, Professor Heron, who will be teaching all three terms of the course. This particular artifact focuses on one of the labs we did. While the actual activity of the lab was pretty straightforward, writing a complete lab report was new to me as I haven�t taken a lab science before. This is my first full lab report with all of the procedures, data, analysis, graphing, and conclusions compiled together into one paper. While physics in general is tough, I am still interested in pursuing the topic and learning what I can. I look forward to continuing with Professor Heron!  "
0	2	International Brain Lab Position	Getting a position at the Steinmetz Lab			1	By far the most exciting event that has happened this quarter was when I was offered a position to work as an undergraduate researcher at the Steinmetz Lab. The Steinmetz Lab is the UW division of the International Brain Lab which is (as the name implies) an international network of labs working to create a better understanding of the brain. I will be mentored by Dr. Birman and will be taking on computer science projects in the field of neuroscience and technology. This is an incredibly exciting opportunity that I have been presented and I can’t wait to see where this will go!
0	2	Multimodal Composition Final Portfolio	Honors ENGL 182 Final Project			1	"As someone interested in computer graphics, multimodality (the study of the different modes of communication and expression) is something that greatly pertains to my studies. Computer graphics is a fascinating intersection of science and arts and understanding techniques of expression is critical in this field. My final portfolio showcases a selection of work I did over the quarter and the process I went through to revise and improve upon them. There is a big focus on metacognition, self-reflection, and revision. The writing and creative process is not a write-once throw-away activity. This portfolio shows my revision process on projects such as pamphlets about detecting counterfeit watches and 2-minute explanations of complex ideas like Monte Carlo Integration."
0	2	NASA Summer Undergraduate Research Program	Husky Satellite Lab summer research project 			1	"One of the greatest benefits of participating in the Husky Satellite Lab RSO is that they are funded by the NASA Space Grant. This means they send members to participate in NASA Summer Undergraduate Research Programs (SURP) without needing to go through the application process! Over the summer of 2022, I will be participating in SURP and will be in a team of 2 others working to improve upon the Star Tracker system of the Husky Satellite. The Start Tracker, LOST, is a program that can take image an image of space and use the stars in the image to calculate the attitude (orientation and position) of our satellite in space! This will be a great experience in working in small groups and on code that will be used in space!"
0	1	Starting a New Honors Portfolio Website	Combining my creativity and tech	1			"I love creating things am learning about new technologies along the way. My Honors Portfolio, and any other website for that matter, is a great reason to do just that! I wanted my portfolios and websites for school to reflect my technological interests as well as my creative side. To do so I learned how to utilize modern web frameworks such as React, Vite, and Three.js as well as continuous integration system like GitHub Action to both create a technologically advanced website as well as display my 3D art. As I work to build this new website, learning these modern web technologies will also let me be more useful in web development jobs and other scenarios which call for these technologies."
0	1	ROV22 Simulation Demo	Designing and testing ROV22		1		"As I continue my work in UWROV, I worked on another project which tied together the software and mechanical teams. To test motor configurations and movement for our new ROV design, I worked to implement CAD model designs from the mechanical team into a fluid simulator to test how they would behave. The software team could also pick up from here and run motor code directly against the ROV in the simulator to test behavior. In this project, I learned about the Gazebo simulator and sharpened my ROS, CAD, and cross-team communication skills."
0	1	Leadership and Democracy Final Paper	A culmination of HONORS 231 E		1		"This final paper was a culmination of the concepts I learned in HONORS 231 E “Leadership, Democracy, and a More Thoughtful Public”. A big emphasis in the class was the idea of “implications”, or asking the questions “if this were true, what would that mean for society?” To tackle this in my final paper, I wrote a short story that played out three different propositions from the course and simulated what I believe would happen to characters and the surrounding society. Through this process I practiced a different way to communicate my thoughts (in the form of a story) and how to write creatively for an academic setting."
0	0	Nautilus Renders	UWROV mechanical x website team project	1			UWROV is a competition-focused club that works to build underwater remotely operated vehicles (ROVs) which will compete at the annual MATE ROV Competition. The team is composed of several distinct subgroups working together towards a common goal. Working on both the mechanical and software subgroup allowed me to gain experience with handling cross-team communications and collaborations. These images of the ROV are a collaboration between the mechanical group and software team to create improved promotional material to be featured on the club’s website. Leading the effort on this project allowed me to practice facilitating planning and collaboration between the two groups to achieve the goal of highlighting the mechanical achievements of the mechanical group and improving the club’s website (ran by the software group).
0	0	Evil Hangman	A fun CSE 143 Assignment		1		"This CSE 143 computer science assignment was focused on a CS topic known as maps or dictionaries. Essentially, a list of correlations of things (like a word to a definition in a dictionary). While this was a topic that wasn’t unfamiliar to me, I enjoyed the application and practice I got from using such a simple system to create a fun game. Evil Hangman takes the standard hangman game and twists it to make it nearly impossible to win by constantly changing the correct word based on the input the player gives. Because of my prior experiences with CS, a lot of topics covered in CSE 143 were not unfamiliar to me, but it was through the extra/targeted practice and structured assignments that I came to have a better understanding and appreciation for these concepts."
