artifact	url
Mary Gates Research Scholarship	https://res.cloudinary.com/kjy5/image/upload/v1679280863/Honors%20Portfolio/Mary%20Gates%20Research%20Scholarship/Wi23_Kenneth_Mary_Gates_Research_Scholarship_leehkn.pdf
Digital Cinema Production Final	https://www.youtube.com/embed/h31nKON_0rI
ROV22 Simulation Demo	https://www.youtube.com/embed/ygnG9eYG1sI
Leadership and Democracy Final Paper	https://res.cloudinary.com/kjy5/image/upload/v1655227118/Honors%20Portfolio/Leadership%20and%20Democracy%20Final%20Paper/0_ccxx3a.pdf
Evil Hangman	https://replit.com/@kjy5/Evil-Hangman-Demo?embed=true
Fall Quarter Reflection	https://res.cloudinary.com/kjy5/image/upload/v1655227118/Honors%20Portfolio/Fall%20Quarter%20Reflection/0_xohsvl.pdf
Research Experiential Learning Activity	https://www.youtube.com/embed/E089tbBpVE8
Lab C: Colliding Carts	https://res.cloudinary.com/kjy5/image/upload/v1671092811/Honors%20Portfolio/Lab%20C:%20Colliding%20Carts/Lab_C_Final_rqzdvx.pdf
CSE 457 Computer Graphics Final	https://www.youtube.com/embed/ruw6Ttrah-8
DXARTS 200 Final Artifact	https://res.cloudinary.com/kjy5/image/upload/v1686177856/Honors%20Portfolio/DXARTS%20200%20Final%20Artifact/Campus_Flow_gtx3w8.pdf
Undergraduate Research Symposium	https://res.cloudinary.com/kjy5/image/upload/v1686177812/Honors%20Portfolio/Undergraduate%20Research%20Symposium/Kenneth_Yang_-_Undergrad_Research_Symposium_2023_sectjk.pdf
