artifact	width	height	name	description	thumbnail	image
COSMOS Interface	626	501	Image Compression InProgress Interface	COSMOS 4 UI for the Image Compression OSK application	https://res.cloudinary.com/kjy5/image/upload/v1655227118/Honors%20Portfolio/COSMOS%20Interface/0-thumb_ad1c4g.webp	https://res.cloudinary.com/kjy5/image/upload/v1655227118/Honors%20Portfolio/COSMOS%20Interface/0_prdwwb.webp
Nautilus Renders	2000	1500	Nautilus		https://res.cloudinary.com/kjy5/image/upload/v1655227119/Honors%20Portfolio/Nautilus%20Renders/0-thumb_bptl07.webp	https://res.cloudinary.com/kjy5/image/upload/v1655227119/Honors%20Portfolio/Nautilus%20Renders/0_u53qzk.webp
Nautilus Renders	2000	1500	Top Down View of ROV		https://res.cloudinary.com/kjy5/image/upload/v1655227119/Honors%20Portfolio/Nautilus%20Renders/1-thumb_i7uwkp.webp	https://res.cloudinary.com/kjy5/image/upload/v1655227119/Honors%20Portfolio/Nautilus%20Renders/1_lgdkxm.webp
Nautilus Renders	2000	1500	Main ROV Electronics	Raspberry Pi 4 Model B and two cameras (one facing forward, another pointing at the gripper).	https://res.cloudinary.com/kjy5/image/upload/v1655227120/Honors%20Portfolio/Nautilus%20Renders/2-thumb_vrossu.webp	https://res.cloudinary.com/kjy5/image/upload/v1655227120/Honors%20Portfolio/Nautilus%20Renders/2_kqdrif.webp
Nautilus Renders	2000	1500	ROV Gripper and Camera	Magnetic coupled gripper and viewing camera (top right of picture).	https://res.cloudinary.com/kjy5/image/upload/v1655227118/Honors%20Portfolio/Nautilus%20Renders/3-thumb_bsa8qe.webp	https://res.cloudinary.com/kjy5/image/upload/v1655227119/Honors%20Portfolio/Nautilus%20Renders/3_o9lpgm.webp
Nautilus Renders	2000	1500	Propulsion Systems	The ROV is driven by 6 motors. Two pairs of cross-axis mounted motors help direct movement planar-ly while a pair of vertically mounted motors provide the ROV with lift.	https://res.cloudinary.com/kjy5/image/upload/v1655227119/Honors%20Portfolio/Nautilus%20Renders/4-thumb_nvrowx.webp	https://res.cloudinary.com/kjy5/image/upload/v1655227119/Honors%20Portfolio/Nautilus%20Renders/4_h90hxn.webp
Nautilus Renders	2000	1500	Rear Electronics and Tether Port		https://res.cloudinary.com/kjy5/image/upload/v1655227120/Honors%20Portfolio/Nautilus%20Renders/5-thumb_cksosl.webp	https://res.cloudinary.com/kjy5/image/upload/v1655227119/Honors%20Portfolio/Nautilus%20Renders/5_ytiyka.webp
Starting a New Honors Portfolio Website	1119	942	GitHub Project View	Planning the features and building blocks to my portfolio website.	https://res.cloudinary.com/kjy5/image/upload/v1655227120/Honors%20Portfolio/Starting%20a%20New%20Honors%20Portfolio%20Website/0-thumb_h77b9g.webp	https://res.cloudinary.com/kjy5/image/upload/v1655227120/Honors%20Portfolio/Starting%20a%20New%20Honors%20Portfolio%20Website/0_uifjmg.webp
Starting a New Honors Portfolio Website	2984	1572	Early development	An early photo of my portfolio website while it was in development.	https://res.cloudinary.com/kjy5/image/upload/v1655227120/Honors%20Portfolio/Starting%20a%20New%20Honors%20Portfolio%20Website/1-thumb_il538c.webp	https://res.cloudinary.com/kjy5/image/upload/v1655227120/Honors%20Portfolio/Starting%20a%20New%20Honors%20Portfolio%20Website/1_iscpnc.webp
333gle	2868	2048	333gle	333gle home page	https://res.cloudinary.com/kjy5/image/upload/v1672013384/Honors%20Portfolio/333gle/333gle_txbc2c.webp	https://res.cloudinary.com/kjy5/image/upload/v1672013264/Honors%20Portfolio/333gle/333gle_lyzrf0.webp
333gle	2868	2048	Hello World	Search results for 'Hello World'	https://res.cloudinary.com/kjy5/image/upload/v1672013384/Honors%20Portfolio/333gle/hello_world_bxhd4d.webp	https://res.cloudinary.com/kjy5/image/upload/v1672013369/Honors%20Portfolio/333gle/hello_world_ks9czm.webp
333gle	2868	2048	Buffalo	Search results for 'Buffalo'	https://res.cloudinary.com/kjy5/image/upload/v1672013384/Honors%20Portfolio/333gle/buffalo_wtn45g.webp	https://res.cloudinary.com/kjy5/image/upload/v1672013362/Honors%20Portfolio/333gle/buffalo_cauj7t.webp
333gle	2868	2048	Moby Dick Text		https://res.cloudinary.com/kjy5/image/upload/v1672013384/Honors%20Portfolio/333gle/moby_dick_text_zfv1se.webp	https://res.cloudinary.com/kjy5/image/upload/v1672013374/Honors%20Portfolio/333gle/moby_dick_text_carhni.webp
